ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN
Laptop Lenovo LOQ 15IRX10 - 83JE00PEVN (i7-13650HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home),Lenovo,Core i7,16.0,512.0,NVIDIA Card Rời,38990000,0,0,0,0
Laptop Msi Modern 15 F13MG-667VN_16G (i5-1334U/ 16GB/ 512GB/ Win 11 Home SL),Msi,Core i5,16.0,512.0,Onboard,18990000,0,0,0,0
Laptop Acer Nitro ProPanel AN16S-61-R5F4 (Ryzen AI 7 350/ GeForce RTX™ 5060/ 16GB/ 512GB/ Win 11 Home SL),Acer,Ryzen 5,16.0,512.0,NVIDIA Card Rời,52990000,0,0,0,0
Laptop Dell 15 DC15250 - CPH997 (i7-1355U/ 16GB/ 1TB/ Win 11 Home SL + Office),Dell,Core i7,16.0,1024.0,Onboard,22490000,0,0,0,0
"Laptop Lenovo LOQ 15ARP9 - 83JC00M3VN (Ryzen 5 7235HS/ GeForce RTX™ 3050/ 16GB/ 1TB/ Win 11 Home SL, English)",Lenovo,Ryzen 5,16.0,1024.0,NVIDIA Card Rời,29490000,0,0,0,0
"Laptop Lenovo LOQ 15ARP9 - 83JC00LVVN (Ryzen 5 7235HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL, English)",Lenovo,Ryzen 5,16.0,512.0,NVIDIA Card Rời,27490000,0,0,0,0
Laptop Acer Aspire Lite AL15-42P-R08M (Ryzen 7 7730U/ 16GB/ 512GB/ Win 11 Home SL + Office),Acer,Ryzen 7,16.0,512.0,AMD Card Rời,17490000,0,0,0,0
Laptop HP Omen 16-am0178TX - BX8Y4PA (Ultra 5-225H/ GeForce RTX™ 5060/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core Ultra 5,16.0,512.0,NVIDIA Card Rời,40990000,0,0,0,0
Laptop HP OmniBook 7 Aero 13-bg1085AU - BZ7U6PA (Ryzen AI 7 350/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Ryzen 7,16.0,512.0,AMD Card Rời,31190000,0,0,0,0
Laptop HP OmniBook 5 16-ag1068AU - BZ7T0PA (Ryzen AI 5 340/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Ryzen 5,16.0,512.0,AMD Card Rời,26190000,0,0,0,0
